,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
0, 5FPYK3F6XHB002417,Honda,['Ridgeline'],RTL-T AWD,2017,"101,576",18,25, Automatic, AWD,Gas,Silver,Gray,0,3, Personal use,"Kokomo, IN","25,499"
1, JTDKN3DP4C3008964,Toyota,['Prius'],Plug-in Hybrid Advanced,2012,"65,082",49,51, Automatic, FWD,Hybrid,Gray,Gray,0,1, Personal use,"Norco, CA","20,990"
2, SADCJ2FX7JA258056,Jaguar,['F-PACE'],Premium 25t,2018,"29,717",22,27, Automatic, AWD,Gas,White,Black,0,1, Personal use,"Salisbury, NC","38,625"
3, 3FA6P0HR3DR138619,Ford,['Fusion'],SE FWD,2013,"154,044",22,34, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Roseville, CA","7,399"
4, JTJHT00WX64011715,Lexus,['LX'],LX 470,2006,"224,550",13,17, Automatic, 4WD,Gas,Black,Unknown,1,1, Personal use,"Blackfoot, ID","14,500"
5, 5N1AT2MT1KC770345,Nissan,['Rogue'],S FWD,2019,"151,343",26,33, Automatic, FWD,Gas,Gray,Black,1,1, Personal use,"Boise, ID","13,881"
6, WDDHF8JB5EA812014,Mercedes-Benz,['E-Class'],E 350 4MATIC Luxury Sedan,2014,"104,220",21,29, Automatic, AWD,Gas,White,Black,1,3, Personal use,"Plano, TX","17,995"
7, 1FTMF1CM9DKD84939,Ford,['F-150'],STX Reg Cab 6.5' Box 2WD,2013,"165,239",17,23, Automatic, RWD,Gas,White,Unknown,2,3, Fleet use,"Carrollton, GA","9,995"
8, 2C4RDGCG3KR544465,Dodge,"['Grand', 'Caravan']",SXT,2019,"18,467",17,25, Automatic, FWD,Gas,White,Black,1,4, Fleet use,"Lubbock, TX","26,000"
9, KNMAT2MV7KP553686,Nissan,['Rogue'],SV AWD,2019,"65,126",25,32, Automatic, AWD,Gas,Black,Black,0,1, Fleet use,"Abilene, TX","22,997"
10, 5GRGN23U96H117949,HUMMER,['H2'],SUV,2006,"159,950",,, Automatic, 4WD,Gas,Unknown,Black,0,2, Personal use,"Bradenton, FL","16,995"
11, 2T2BZMCAXKC211754,Lexus,['RX'],RX 350 AWD,2019,"14,150",19,26, Automatic, AWD,Gas,Gray,Black,0,2, Personal use,"Sugar Land, TX","41,000"
12, WDBPJ75J43A035112,Mercedes-Benz,['CL'],CL 500,2003,"56,995",16,22, Automatic, RWD,Gas,Silver,Gray,0,4, Personal use,"Castroville, TX","12,500"
13, 5NMZTDLB8HH030314,Hyundai,"['Santa', 'Fe', 'Sport']",Base 2.4L AWD,2017,"118,822",20,26, Automatic, AWD,Gas,White,Gray,1,2, Personal use,"Las Vegas, NV","14,500"
14, 1C6RR7VMXGS219510,Ram,['1500'],"Laramie Crew Cab 6'4"" Box 4WD",2016,"158,145",15,21, Automatic, 4WD,Diesel,White,Beige,1,2, Personal use,"Santa Rosa, CA","20,995"
15, 1C4RJFDJXKC774610,Jeep,"['Grand', 'Cherokee']",SRT 4WD,2019,"43,138",13,19, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"Austin, TX","62,997"
16, 1C4RJFCT1KC590109,Jeep,"['Grand', 'Cherokee']",High Altitude 4WD,2019,"16,605",18,25, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Fredericksburg, VA","43,854"
17, JTDEPRAE3LJ047120,Toyota,['Corolla'],LE CVT,2020,"56,730",30,38, Automatic, FWD,Gas,Gray,Black,1,1, Fleet use,"Dade City, FL","19,500"
18, WDDNG9EB2CA481812,Mercedes-Benz,['S-Class'],S 550 4MATIC Sedan,2012,"182,000",15,24, Automatic, AWD,Gas,Silver,Black,1,3, Personal use,"Albuquerque, NM","13,500"
19, 1FM5K8D89JGA77453,Ford,['Explorer'],XLT 4WD,2018,"49,893",16,22, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Plano, TX","29,000"
20, 3C4NJDDB6JT198691,Jeep,['Compass'],Trailhawk 4WD,2018,"102,534",22,30, Automatic, 4WD,Gas,Gray,Red,2,1, Personal use,"Sebring, FL","18,503"
21, 1FMCU9GD1KUB82216,Ford,['Escape'],SE AWD,2019,"61,127",22,28, Automatic, 4WD,Gas,White,Gray,0,2, Fleet use,"Colorado Springs, CO","21,054"
22, JTHFN48Y640054260,Lexus,['SC'],SC 430 Convertible,2004,"140,250",18,23, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"Dallas, TX","14,250"
23, 5UXCR6C53KLL08762,BMW,['X5'],xDrive40i,2019,"57,091",20,26, Automatic, AWD,Gas,White,Beige,0,1, Personal use,"Pasadena, TX","47,177"
24, 5NPD84LF5HH058119,Hyundai,['Elantra'],SE 2.0L Sedan Automatic (alt),2017,"170,905",29,38, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Sanford, FL","9,500"
25, 1C4PJMDN7KD364775,Jeep,['Cherokee'],Limited 4WD,2019,"44,779",19,27, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Belton, TX","27,453"
26, W1N0G8EB0MF870492,Mercedes-Benz,['GLC'],GLC 300 SUV 4MATIC,2021,"11,935",,,,,,White,Black,0,1, Personal use,"Carrollton, GA","45,000"
27, 1C4RJFBG9EC124579,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2014,"110,200",17,24, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Live Oak, FL","18,500"
28, JTHBJ46G272037372,Lexus,['ES'],ES 350,2007,"79,400",21,30, Automatic, FWD,Gas,Silver,Black,0,3, Personal use,"Grand Rapids, MI","12,995"
29, 5TFUW5F12GX509960,Toyota,['Tundra'],SR5 Double Cab 6.5' Bed Flex Fuel 5.7L V8 4WD,2016,"177,850",13,17, Automatic, 4WD,Gas,White,Black,1,2, Personal use,"San Antonio, TX","20,995"
30, 2HGFC2F74JH549412,Honda,['Civic'],EX Sedan CVT,2018,"130,000",31,40, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Fargo, ND","17,500"
31, 1FMSK8DH7MGB77199,Ford,['Explorer'],XLT 4WD,2021,"10,068",20,27, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Sterling Heights, MI","36,500"
32, 1N4BL4BV6LC230912,Nissan,['Altima'],2.5 S FWD,2020,"31,155",28,39, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Greensboro, NC","23,995"
33, 1G1P75SZ0E7100786,Chevrolet,['Cruze'],Diesel Automatic,2014,"119,500",27,46, Automatic, FWD,Diesel,Blue,Brown,0,3, Fleet use,"Safford, AZ","9,995"
34, 3N1AB7AP1KY333385,Nissan,['Sentra'],SV CVT,2019,"84,322",29,37, Automatic, FWD,Gas,White,Black,0,1, Fleet use,"Boise, ID","17,997"
35, 5YFBURHE3HP586390,Toyota,['Corolla'],L CVT,2017,"79,051",28,36, Automatic, FWD,Gas,Black,Gray,0,2, Personal use,"Grand Rapids, MI","16,700"
36, WBAFR7C57BC801703,BMW,"['5', 'Series']",535i Sedan,2011,"109,800",19,28, Automatic, RWD,Gas,Gray,Black,2,4, Personal use,"Albuquerque, NM","13,500"
37, 5NPD84LF4LH569362,Hyundai,['Elantra'],SEL 2.0L IVT,2020,"69,716",30,40, Automatic, FWD,Gas,Red,Gray,0,1, Personal use,"Blackfoot, ID","20,000"
38, JTHBK1EG5A2405760,Lexus,['ES'],ES 350,2010,"81,700",19,27, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Fort Worth, TX","14,999"
39, JTMP1RFV3KD501303,Toyota,['RAV4'],XLE AWD,2019,"61,794",25,33, Automatic, AWD,Gas,Black,Gray,0,2, Fleet use,"Longview, TX","28,310"
40, WBA4J3C56JBB97608,BMW,"['4', 'Series']",430i xDrive Gran Coupe,2018,"47,950",23,33, Automatic, AWD,Gas,Black,Brown,0,1, Personal use,"Abilene, TX","28,888"
41, 5UXCW2C08M9E18635,BMW,['X7'],xDrive40i,2021,"55,500",19,24, Automatic, AWD,Gas,Blue,Brown,0,1, Personal use,"Albuquerque, NM","63,995"
42, 2T3P1RFV6KW029469,Toyota,['RAV4'],XLE AWD,2019,"53,016",25,33, Automatic, AWD,Gas,Gray,Black,0,2, Fleet use,"Midwest City, OK","28,200"
43, 1FTEW1EP9JFD83967,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2018,"48,801",18,23, Automatic, 4WD,Gas,Black,Gray,0,2, Personal use,"Avondale, AZ","35,299"
44, JTHFN48YX30048511,Lexus,['SC'],SC 430 Convertible,2003,"77,800",18,23, Automatic, RWD,Gas,Silver,Unknown,0,2, Personal use,"Jacksonville, FL","17,250"
45, 1C4RJFLG1LC347565,Jeep,"['Grand', 'Cherokee']",Trailhawk 4WD,2020,"65,998",18,25, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Ft. Worth, TX","36,998"
46, 3N1AB7AP0KY254032,Nissan,['Sentra'],SV CVT,2019,"19,236",29,37, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Jacksonville, FL","19,639"
47, 1C4PJMLX6KD481198,Jeep,['Cherokee'],Altitude 4WD,2019,"30,484",,,,,,Gray,Black,0,2, Personal use,"Shamokin Dam, PA","27,900"
48, WBXHT3C32J5K24394,BMW,['X1'],xDrive28i AWD,2018,"37,183",22,31, Automatic, AWD,Gas,Silver,Black,0,2, Personal use,"Columbus, GA","27,997"
