VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 5FPYK3F6XHB002417,Honda,Ridgeline,RTL-T AWD,2017,101576, Automatic,AWD,Gas,Silver,Gray,0,3,Personaluse,25499,5, IN,21.5
 JTDKN3DP4C3008964,Toyota,Prius,Plug-in Hybrid Advanced,2012,65082, Automatic,FWD,Hybrid,Gray,Gray,0,1,Personaluse,20990,10, CA,50.0
 SADCJ2FX7JA258056,Jaguar,F-PACE,Premium 25t,2018,29717, Automatic,AWD,Gas,White,Black,0,1,Personaluse,38625,4, NC,24.5
 3FA6P0HR3DR138619,Ford,Fusion,SE FWD,2013,154044, Automatic,FWD,Gas,White,Black,0,2,Personaluse,7399,9, CA,28.0
 JTJHT00WX64011715,Lexus,LX,LX 470,2006,224550, Automatic,4WD,Gas,Black,Red,1,1,Personaluse,14500,16, ID,15.0
 5N1AT2MT1KC770345,Nissan,Rogue,S FWD,2019,151343, Automatic,FWD,Gas,Gray,Black,1,1,Personaluse,13881,3, ID,29.5
 WDDHF8JB5EA812014,Mercedes-Benz,E-Class,E 350 4MATIC Luxury Sedan,2014,104220, Automatic,AWD,Gas,White,Black,1,3,Personaluse,17995,8, TX,25.0
 1FTMF1CM9DKD84939,Ford,F-150,STX Reg Cab 6.5' Box 2WD,2013,165239, Automatic,RWD,Gas,White,Black,2,3,Fleetuse,9995,9, GA,20.0
 2C4RDGCG3KR544465,Dodge,Grand Caravan,SXT,2019,18467, Automatic,FWD,Gas,White,Black,1,4,Fleetuse,26000,3, TX,21.0
 KNMAT2MV7KP553686,Nissan,Rogue,SV AWD,2019,65126, Automatic,AWD,Gas,Black,Black,0,1,Fleetuse,22997,3, TX,28.5
 5GRGN23U96H117949,HUMMER,H2,SUV,2006,159950, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,16995,16, FL,34.0
 2T2BZMCAXKC211754,Lexus,RX,RX 350 AWD,2019,14150, Automatic,AWD,Gas,Gray,Black,0,2,Personaluse,41000,3, TX,22.5
 WDBPJ75J43A035112,Mercedes-Benz,CL,CL 500,2003,56995, Automatic,RWD,Gas,Silver,Gray,0,4,Personaluse,12500,19, TX,19.0
 5NMZTDLB8HH030314,Hyundai,Santa Fe Sport,Base 2.4L AWD,2017,118822, Automatic,AWD,Gas,White,Gray,1,2,Personaluse,14500,5, NV,23.0
 1C6RR7VMXGS219510,Ram,1500,"Laramie Crew Cab 6'4"" Box 4WD",2016,158145, Automatic,4WD,Diesel,White,Beige,1,2,Personaluse,20995,6, CA,18.0
 1C4RJFDJXKC774610,Jeep,Grand Cherokee,SRT 4WD,2019,43138, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,62997,3, TX,16.0
 1C4RJFCT1KC590109,Jeep,Grand Cherokee,High Altitude 4WD,2019,16605, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,43854,3, VA,21.5
 JTDEPRAE3LJ047120,Toyota,Corolla,LE CVT,2020,56730, Automatic,FWD,Gas,Gray,Black,1,1,Fleetuse,19500,2, FL,34.0
 WDDNG9EB2CA481812,Mercedes-Benz,S-Class,S 550 4MATIC Sedan,2012,182000, Automatic,AWD,Gas,Silver,Black,1,3,Personaluse,13500,10, NM,19.5
 1FM5K8D89JGA77453,Ford,Explorer,XLT 4WD,2018,49893, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,29000,4, TX,19.0
 3C4NJDDB6JT198691,Jeep,Compass,Trailhawk 4WD,2018,102534, Automatic,4WD,Gas,Gray,Red,2,1,Personaluse,18503,4, FL,26.0
 1FMCU9GD1KUB82216,Ford,Escape,SE AWD,2019,61127, Automatic,AWD,Gas,White,Gray,0,2,Fleetuse,21054,3, CO,25.0
 JTHFN48Y640054260,Lexus,SC,SC 430 Convertible,2004,140250, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,14250,18, TX,20.5
 5UXCR6C53KLL08762,BMW,X5,xDrive40i,2019,57091, Automatic,AWD,Gas,White,Beige,0,1,Personaluse,47177,3, TX,23.0
 5NPD84LF5HH058119,Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),2017,170905, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,9500,5, FL,33.5
 1C4PJMDN7KD364775,Jeep,Cherokee,Limited 4WD,2019,44779, Automatic,4WD,Gas,White,Black,0,1,Personaluse,27453,3, TX,23.0
 W1N0G8EB0MF870492,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2021,11935, Automatic,RWD,Gas,White,Black,0,1,Personaluse,45000,1, GA,24.5
 1C4RJFBG9EC124579,Jeep,Grand Cherokee,Limited 4WD,2014,110200, Automatic,4WD,Gas,White,Black,0,2,Personaluse,18500,8, FL,20.5
 JTHBJ46G272037372,Lexus,ES,ES 350,2007,79400, Automatic,FWD,Gas,Silver,Black,0,3,Personaluse,12995,15, MI,25.5
