,VIN,Brand,Model,Trim,Manufature_Year,Mileage,MPG_City,MPG_Highway,Engine_Capacity,Transmission,Drive_Type,Fuel_Type,Exterior_Color,Interior_Color,Accidents,Owners,Car_Usage_Type,Location,Price
0, 5UXJU2C50KLN66994,BMW,X5,xDrive50i,2019,"28,727",17,22,4.4, Automatic, AWD,Gas,Blue,White,0,1, Personal use,"West Palm Beach, FL","59,498"
1, 2T1BURHE4GC512250,Toyota,Corolla,LE CVT,2016,"107,628",29,38,1.8, Automatic, FWD,Gas,Gray,Gray,0,2, Personal use,"East Greenwich, RI","15,499"
2, WP1AA2A52MLB14348,Porsche,Macan,AWD,2021,"1,018",19,23,2.0, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"North Lauderdale, FL","61,999"
3, 1G1ZD5ST8LF011564,Chevrolet,Malibu,LT,2020,"73,364",29,36,1.5, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Sebring, FL","19,998"
4, 1FTEW1E55JKC28614,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2018,"120,532",18,23,5.0, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Plano, TX","21,900"
5, 5YFEPRAE0LP076893,Toyota,Corolla,LE CVT,2020,"14,860",30,38,1.8, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Miami, FL","20,016"
6, 1G1ZD5ST6LF095206,Chevrolet,Malibu,LT,2020,"48,936",29,36,1.5, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Orlando, FL","19,498"
7, 5YFEPRAE2LP096935,Toyota,Corolla,LE CVT,2020,"21,467",30,38,1.8, Automatic, FWD,Gas,White,Black,1,2, Personal use,"Boise, ID","19,300"
8, 1GYKNCRS4KZ217480,Cadillac,XT5,Luxury FWD,2019,"52,586",19,26,3.6, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Sebring, FL","28,996"
9, 1FTEW1E51JFE29029,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,"96,959",18,23,5.0, Automatic, 4WD,Gas,Black,Gray,0,1, Personal use,"Grand Rapids, MI","26,990"
10, 1FTFW1E47KKC32001,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,"139,980",19,24,3.5, Automatic, 4WD,Gas,Red,Black,0,1, Personal use,"Abilene, TX","27,995"
11, 1FTEX1EB1JKE87149,Ford,F-150,XL SuperCab 6.5' Box 4WD,2018,"169,857",18,23,3.3, Automatic, 4WD,Gas,White,Gray,0,1, Fleet use,"Dallas, TX","15,990"
12, 1FTEW1EB5KFA65060,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"102,956",18,23,3.3, Automatic, 4WD,Gas,Black,Gray,0,2, Personal use,"Hazard, KY","28,000"
13, 1FTEW1E44KKD72566,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"145,609",18,23,3.5, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Albuquerque, NM","28,000"
14, 3N1AB7APXKL620477,Nissan,Sentra,SV CVT,2019,"61,228",29,37,1.8, Automatic, FWD,Gas,Silver,Black,1,2, Fleet use,"New Smyrna, FL","12,799"
15, JN8AT2MVXKW384323,Nissan,Rogue,SV AWD,2019,"61,884",25,32,2.5, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Trevose, PA","20,853"
16, 1GNERGKW7KJ208581,Chevrolet,Traverse,LT Cloth with 1LT FWD,2019,"73,096",18,27,3.6, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Lubbock, TX","25,541"
17, 1FTEW1E5XJFA09401,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,"51,273",18,23,5.0, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Pasadena, TX","30,683"
18, 1N4BL4BV2LC229210,Nissan,Altima,2.5 S FWD,2020,"48,887",28,39,2.5, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Leesburg, FL","19,888"
19, 1FTEW1E87HKD75473,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2017,"216,301",17,23,3.5, Automatic, 4WD,Gas,White,Gray,0,2, Personal use,"Colorado Springs, CO","16,990"
20, 1GNSKBKC5KR120047,Chevrolet,Tahoe,LT 4WD,2019,"69,974",15,21,5.3, Automatic, 4WD,Gas,Black,Black,1,3, Personal use,"Lubbock, TX","27,518"
21, 3GNAXJEVXKS636390,Chevrolet,Equinox,LT with 2FL FWD,2019,"32,159",26,32,1.5, Automatic, FWD,Gas,White,Black,1,1, Personal use,"Las Vegas, NV","20,500"
22, 1N4BL4BV1LC227593,Nissan,Altima,2.5 S FWD,2020,"50,145",28,39,2.5, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Avondale, AZ","22,139"
23, 1FTFW1E56JFB74611,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2018,"129,900",19,24,5.0, Automatic, 4WD,Gas,White,Unknown,0,2, Personal use,"Blackfoot, ID","28,999"
24, 1FTEW1E8XGFB48012,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2016,"138,684",17,23,3.5, Automatic, 4WD,Gas,Blue,Gray,0,1, Personal use,"Grand Rapids, MI","20,990"
25, 2GNAXKEV7L6235255,Chevrolet,Equinox,LT with 1LT FWD,2020,"15,230",26,32,1.5, Automatic, FWD,Gas,Gray,Black,1,2, Personal use,"Boise, ID","22,400"
26, 1C3CCCAB2FN594807,Chrysler,200,Limited FWD,2015,"103,587",23,36,2.4, Automatic, FWD,Gas,Black,Black,0,6, Personal use,"Roseville, CA","11,994"
