,Brand,Model,Trim,Manufature Year,Stock Type,Mileage,Dealer Name,Distance,Rating,Review Count,Badge Label,Price
0,Toyota,Prius, Prime XLE,2020,Used,"9,150 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Good Deal,"$35,950"
1,Mazda,CX-5, Touring,2020,Used,"14,305 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$31,895"
2,Subaru,Outback, Touring XT,2021,Used,"19,099 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ","Great Deal | $1,605 under","$39,200"
3,Lexus,RX, 450h 450H,2019,Used,"47,401 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$45,400"
4,Jeep,Grand, Cherokee Limited,2019,Used,"33,553 mi.",Antwerpen Chrysler Jeep Dodge Ram,6 mi. from 21227,4.5,"1,939 ",Good Deal,"$40,000"
5,Ford,Expedition, Limited,2020,Used,"73,228 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$48,537"
6,Mercedes-Benz,C-Class, C 300 4MATIC,2019,Mercedes-Benz Certified,"39,629 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$38,900"
7,Acura,MDX, 3.5L Technology Package,2015,Used,"49,499 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Fair Deal,"$29,500"
8,Mazda,CX-5, Touring,2020,Used,"48,512 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Great Deal | $494 under,"$29,400"
9,Nissan,Rogue, SL,2019,Nissan Certified,"53,863 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$27,311"
10,Hyundai,Palisade, SEL,2020,Used,"45,230 mi.",Antwerpen Hyundai of Baltimore,6 mi. from 21227,4.6,"3,023 ",Good Deal,"$42,402"
11,Jeep,Grand, Cherokee Limited,2019,Used,"44,588 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,"Great Deal | $1,474 under","$33,444"
12,Toyota,Highlander, XLE,2016,Used,"62,803 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $736 under,"$26,999"
13,Toyota,Corolla, LE,2020,Used,"46,681 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$20,989"
14,Lexus,ES, 350 F Sport,2019,Used,"13,512 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$43,998"
15,INFINITI,QX50, ESSENTIAL,2019,Used,"33,099 mi.",JBA INFINITI,8 mi. from 21227,4.7,240 ,"Great Deal | $1,140 under","$34,995"
16,Honda,CR-V, EX-L,2019,Used,"49,634 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$32,000"
17,Nissan,Leaf, SL,2012,Used,"48,970 mi.",n/a,9 mi. from 21227,n/a,n/a,n/a,"$9,799"
18,INFINITI,QX60, Base,2016,Used,"66,153 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Fair Deal,"$28,150"
19,Honda,HR-V, LX,2017,Used,"37,489 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Good Deal,"$20,495"
20,Nissan,Rogue, SL,2019,Nissan Certified,"60,727 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$26,765"
21,Chevrolet,Tahoe, LS,2018,Used,"62,377 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,"Great Deal | $1,008 under","$41,750"
22,Toyota,Sienna, XLE,2014,Used,"60,828 mi.",WILKINS BUICK-GMC,6 mi. from 21227,4.7,681 ,Great Deal | $550 under,"$23,247"
23,Porsche,Boxster, S,2015,Used,"16,152 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Fair Deal,"$58,990"
24,Nissan,Rogue, S,2020,Nissan Certified,"12,448 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Great Deal | $816 under,"$26,000"
25,Mazda,CX-5, Grand Touring,2019,Used,"59,980 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$26,850"
26,Lexus,RX, 450h 450H,2019,Used,"14,424 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Great Deal | $621 under,"$46,700"
27,Mercedes-Benz,S-Class, S 450 4MATIC,2019,Used,"58,899 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$62,100"
28,Mazda,CX-5, Grand Touring,2019,Used,"22,503 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Great Deal | $909 under,"$33,000"
29,Nissan,Rogue, SV,2018,Nissan Certified,"47,317 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$23,686"
30,Mazda,CX-5, Touring,2019,Used,"34,217 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$29,550"
31,RAM,1500, Laramie,2020,Used,"30,593 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ","Great Deal | $1,548 under","$49,000"
32,Ford,Explorer, XLT,2018,Used,"47,580 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$32,000"
33,Honda,Civic, Sport,2019,Used,"31,076 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$26,998"
34,Hyundai,Santa, Fe SE 2.4,2019,Used,"83,012 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$21,695"
35,MINI,Countryman, Cooper S ALL4,2015,Used,"49,215 mi.",Auto Leader,8 mi. from 21227,4.6,145 ,Fair Deal,"$19,988"
36,Audi,S5, 3.0T Premium Plus,2018,Used,"37,611 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Fair Deal,"$47,998"
37,Acura,MDX, 3.5L w/Technology Package,2020,Used,"31,878 mi.",Rich Morton Mazda,9 mi. from 21227,4.6,736 ,Good Deal,"$43,588"
38,Lexus,RX, 350 Base,2013,Used,"86,746 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Fair Deal,"$22,000"
39,BMW,535, i xDrive,2016,Used,"86,982 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Fair Deal,"$23,987"
40,Mercedes-Benz,E-Class, E 350 4MATIC,2012,Used,"69,050 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Fair Deal,"$20,500"
41,Jeep,Grand, Cherokee Limited,2020,Used,"22,086 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,"Great Deal | $1,652 under","$38,500"
42,Honda,Accord, EX-L,2014,Used,"66,438 mi.",WILKINS BUICK-GMC,6 mi. from 21227,4.7,681 ,Fair Deal,"$18,997"
43,Honda,Accord, Sport,2018,Used,"50,921 mi.",Tate Used Cars,6 mi. from 21227,4.0,13 ,Fair Deal,"$26,400"
44,Nissan,Rogue, S,2020,Nissan Certified,"23,881 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$25,222"
45,GMC,Terrain, SLT,2019,Used,"47,654 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Great Deal | $357 under,"$28,931"
46,Volkswagen,Atlas, 3.6L SE w/Technology,2019,Used,"31,617 mi.",Heritage Volkswagen Catonsville,6 mi. from 21227,4.8,716 ,"Great Deal | $1,081 under","$33,900"
